series,gallery_number,set_code,set_number,name_de,name_en,image_url_de,image_url_en
8,11,DRI,39,Klarins Ho-Oh-ex,Ethan’s Ho-Oh ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_11-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_11-2x.png
8,12,DRI,36,Klarins Magcargo,Ethan’s Magcargo,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_12-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_12-2x.png
8,13,DRI,33,Klarins Igelavar,Ethan’s Quilava,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_13-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_13-2x.png
8,14,DRI,34,Klarins Tornupto,Ethan’s Typhlosion,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_14-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_14-2x.png
8,15,BLK,67,Genesect-ex,Genesect ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_15-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_15-2x.png
8,16,MEG,73,Hariyama,Hariyama,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_16-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_16-2x.png
8,17,JTG,136,Hops Zwollock,Hop’s Dubwool,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_17-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_17-2x.png
8,18,JTG,117,Hops Relaxo,Hop’s Snorlax,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_18-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_18-2x.png
8,19,JTG,111,Hops Zacian-ex,Hop’s Zacian ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_19-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_19-2x.png
8,20,JTG,53,Enigmaras Wampitz-ex,Iono’s Bellibolt ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_20-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_20-2x.png
8,21,JTG,55,Enigmaras Voltrean,Iono’s Kilowattrel,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_21-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_21-2x.png
8,22,JTG,47,Enigmaras Voltobal,Iono’s Voltorb,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_22-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_22-2x.png
8,23,BLK,28,Kyurem-ex,Kyurem ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_23-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_23-2x.png
8,24,MEG,101,Latios,Latios,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_24-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_24-2x.png
8,25,JTG,56,Lillys Piepi-ex,Lillie’s Clefairy ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_25-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_25-2x.png
8,26,JTG,67,Lillys Bandelby,Lillie’s Ribombee,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_26-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_26-2x.png
8,27,MEG,74,Lunastein,Lunatone,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_27-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_27-2x.png
8,28,MEG,36,Mega-Rexblisar-ex,Mega Abomasnow ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_28-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_28-2x.png
8,29,MEG,86,Mega-Absol-ex,Mega Absol ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_29-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_29-2x.png
8,30,MEG,22,Mega-Camerupt-ex,Mega Camerupt ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_30-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_30-2x.png
8,31,MEG,60,Mega-Guardevoir-ex,Mega Gardevoir ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_31-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_31-2x.png
8,32,MEG,104,Mega-Kangama-ex,Mega Kangaskhan ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_32-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_32-2x.png
8,33,MEG,100,Mega-Latias-ex,Mega Latias ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_33-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_33-2x.png
8,34,MEG,77,Mega-Lucario-ex,Mega Lucario ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_34-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_34-2x.png
8,35,MEG,50,Mega-Voltenso-ex,Mega Manectric ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_35-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_35-2x.png
8,36,MEG,94,Mega-Flunkifer-ex,Mega Mawile ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_36-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_36-2x.png
8,37,MEG,3,Mega-Bisaflor-ex,Mega Venusaur ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_37-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_37-2x.png
8,38,JTG,27,Ns Flampivian,N’s Darmanitan,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_38-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_38-2x.png
8,39,JTG,116,Ns Reshiram,N’s Reshiram,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_39-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_39-2x.png
8,40,JTG,98,Ns Zoroark-ex,N’s Zoroark ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_40-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_40-2x.png
8,41,WHT,20,Reshiram-ex,Reshiram ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_41-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_41-2x.png
8,42,DRI,10,Shaymin,Shaymin,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_42-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_42-2x.png
8,43,MEG,75,Sonnfel,Solrock,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_43-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_43-2x.png
8,44,DRI,122,Team Rockets Iksbat-ex,Team Rocket’s Crobat ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_44-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_44-2x.png
8,45,DRI,81,Team Rockets Mewtu-ex,Team Rocket’s Mewtwo ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_45-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_45-2x.png
8,46,DRI,119,Team Rockets Nidoking-ex,Team Rocket’s Nidoking ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_46-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_46-2x.png
8,47,DRI,20,Team Rockets Spinsidias,Team Rocket’s Spidops,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_47-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_47-2x.png
8,48,DRI,3,Yanmega-ex,Yanmega ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_48-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_48-2x.png
8,49,BLK,34,Zekrom-ex,Zekrom ex,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_49-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_49-2x.png
8,50,BLK,79,Luftballon,Air Balloon,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_50-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_50-2x.png
8,51,MEG,114,Befehl vom Boss (G-Cis),Boss’s Orders,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_51-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_51-2x.png
8,52,SSP,164,Prächtiger Mixer,Brilliant Blender,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_52-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_52-2x.png
8,53,DRI,162,Cynthias Machtgewicht,Cynthia’s Power Weight,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_53-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_53-2x.png
8,54,SSP,176,Profi-Energiesuche,Energy Search Pro,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_54-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_54-2x.png
8,55,DRI,165,Klarins Abenteuer,Ethan’s Adventure,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_55-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_55-2x.png
8,56,MEG,116,Kampfgong,Fighting Gong,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_56-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_56-2x.png
