id_expansion,expansion_code,name,release_date,code_source,n_singles
6361,,CSVL2C: Travel Special Pack,2025-10-28,,139
5901,,Super Electric Breaker,2024-09-23,,138
1562,PL,Platinum,0000-00-00,tcg,137
6200,,,2021-03-12,,137
1557,SW,Secret Wonders,0000-00-00,tcg,136
6292,,CBB3C: Gem Pack Vol. 3,2025-09-01,,136
5782,,Stellar Miracle,2024-06-03,,135
1556,MT,Mysterious Treasures,0000-00-00,tcg,134
1529,G1,Gym Heroes,0000-00-00,tcg,133
1576,DRX,Dragons Exalted,0000-00-00,tcg,133
1660,AOR,Ancient Origins,2015-08-05,tcg,133
5690,,Mask of Change,2024-03-16,,133
1530,G2,Gym Challenge,0000-00-00,tcg,132
1742,EVO,Evolutions,2016-10-21,tcg,132
5996,,Battle Partners,2025-01-03,,132
6092,,The Glory of Team Rocket,2025-03-21,,132
1579,PLF,Plasma Freeze,0000-00-00,tcg,131
4251,,Grass Lurantis GX Deck,2021-03-17,,131
1527,BS2,Base Set 2,0000-00-00,tcg,130
6299,PFL,Phantasmal Flames,2025-09-04,tcg,130
1584,FFI,Furious Fists,0000-00-00,tcg,129
1649,ROS,Roaring Skies,0000-00-00,tcg,129
4360,,Fusion Arts,2021-08-02,,129
6393,,,2025-11-19,,129
1563,RR,Rising Rivals,0000-00-00,tcg,128
1575,DEX,Dark Explorers,0000-00-00,tcg,127
1583,FLF,Flashfire,0000-00-00,tcg,127
3389,,V Starter Decks: Eevee V Starter Deck,2020-07-10,,127
4322,,,2021-05-28,,127
4440,,Star Birth,2021-12-31,,127
5094,,Lost Abyss,2022-06-24,,127
3781,,Quick Starter Gift Set,2021-03-09,,125
3916,,GX Battle Boost,2021-03-17,,125
5156,,Paradigm Trigger,2022-09-19,,125
6443,POR,Perfect Order 24,2026-01-08,tcg,125
4317,,Secret of the Lakes,2021-05-28,,123
4318,,Pearl Collection,2021-05-28,,122
5335,,Greninja ex Battle Deck & 2,2022-10-25,,122
6517,CRI,Chaos Rising 24,2026-03-12,tcg,122
3479,,Shocking Volt Tackle Limited,2020-09-01,,121
6494,,Ninja Spinner,2026-02-17,,120
6569,PBL,Pitch Black 24,2026-04-30,tcg,120
3274,,Infinity Zone Limited,2020-05-28,,119
4313,,Shining Darkness,2021-05-28,,119
6041,PPS6,Play! Pokémon Prize Pack Series Six,2025-02-10,pps,119
