meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
Meta Live;;Iron Hands Magneton;Bravery Charm;SCR 175;1;1;1;19;5,26;SCR;;175;Secret Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_175_R_EN_LG.png;No
Meta Live;;Iron Valiant;Cleffa;OBF 80;1;1;1;19;5,26;OBF;;80;Common;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/OBF/OBF_080_R_EN_LG.png;No
Meta Live;;Mega Venusaur;Earthen Vessel;PRE 106;1;1;1;20;5,0;PRE;;106;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_106_R_EN_LG.png;No
Meta Live;;Other;Pecharunt;SVP 149;3;3;1;19;5,26;SVP;;149;;D Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVP/SVP_149_R_EN_LG.png;No
Meta Live;;Other;Noibat;PAL 152;2;2;1;19;5,26;PAL;;152;;N Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_152_R_EN_LG.png;No
Meta Live;;Other;Buneary;PFL 83;1;1;1;19;5,26;PFL;;83;Common;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_083_R_EN_LG.png;No
Meta Live;;Other;Mega Lopunny ex;PFL 84;1;1;1;19;5,26;PFL;;84;Double Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_084_R_EN_LG.png;No
Meta Live;;Other;Noivern ex;PRE 91;2;2;1;19;5,26;PRE;;91;Double Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_091_R_EN_LG.png;No
Meta Live;;Other;Perilous Jungle;TEF 156;3;3;1;19;5,26;TEF;;156;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_156_R_EN_LG.png;No
Meta Live;;Other;Black Belt's Training;PRE 96;1;1;1;19;5,26;PRE;;96;Common;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_096_R_EN_LG.png;Yes
Meta Live;;Other;Ancient Booster Energy Capsule;TEF 140;3;3;1;19;5,26;TEF;;140;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_140_R_EN_LG.png;No
Meta Live;;Rocket'S Mewtwo;Prism Energy;ASC 216;1;1;1;20;5,0;ASC;;216;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_216_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Dusknoir;PRE 37;2;1;2;49;4,08;PRE;;37;Rare;P Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_037_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Duskull;PRE 35;2;1;2;49;4,08;PRE;;35;Common;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_035_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Dusclops;PRE 36;1;1;1;49;2,04;PRE;;36;Common;P Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_036_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Dudunsparce ex;JTG 121;1;1;1;49;2,04;JTG;;121;Double Rare;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_121_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Picnic Basket;SVI 184;6;2;5;49;10,2;SVI;;184;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_184_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Super Rod;PAL 188;3;1;3;49;6,12;PAL;;188;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAL/PAL_188_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Switch;MEG 130;1;1;1;49;2,04;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;Yes
Meta Play!;;Alakazam Dudunsparce;Ultra Ball;MEG 131;1;1;1;49;2,04;MEG;;131;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_131_R_EN_LG.png;Yes
Meta Play!;;Alakazam Dudunsparce;Lively Stadium;SSP 180;2;1;2;49;4,08;SSP;;180;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_180_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Bill's Transfer;MEW 156;13;4;7;49;14,29;MEW;;156;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_156_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Miriam;SVI 179;3;2;2;49;4,08;SVI;;179;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_179_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Penny;PAF 239;2;1;2;49;4,08;PAF;;239;Special Art Rare;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PAF/PAF_239_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Giovanni's Charisma;MEW 161;1;1;1;49;2,04;MEW;;161;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEW/MEW_161_R_EN_LG.png;No
Meta Play!;;Alakazam Dudunsparce;Morty's Conviction;TEF 155;1;1;1;49;2,04;TEF;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_155_R_EN_LG.png;Yes
