period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Ogerpon Box;Teal Mask Ogerpon ex;TWM 25;15;4;5;3,0;3,0;5;100,0;TWM;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Lillie's Clefairy ex;JTG 56;10;2;5;2,0;2,0;5;100,0;JTG;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Latias ex;SSP 76;10;2;5;2,0;2,0;5;100,0;SSP;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Meowth ex;POR 62;12;3;5;2,4;2,4;5;100,0;POR;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Pecharunt;SVP 149;5;2;3;1,67;1,0;5;60,0;SVP;149;Promo;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVP/SVP_149_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Mega Kangaskhan ex;MEG 104;10;2;5;2,0;2,0;5;100,0;MEG;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Munkidori;TWM 95;7;2;5;1,4;1,4;5;100,0;TWM;95;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Fezandipiti ex;ASC 142;5;1;5;1,0;1,0;5;100,0;ASC;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Chi-Yu;TWM 39;2;1;2;1,0;0,4;5;40,0;TWM;39;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_039_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Wellspring Mask Ogerpon ex;TWM 64;5;1;5;1,0;1,0;5;100,0;TWM;64;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_064_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Lillie's Determination;ASC 192;11;4;3;3,67;2,2;5;60,0;ASC;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Boss's Orders;ASC 183;15;3;5;3,0;3,0;5;100,0;ASC;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Ciphermaniac's Codebreaking;PRE 104;5;1;5;1,0;1,0;5;100,0;PRE;104;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_104_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;N's Plan;BLK 83;4;2;3;1,33;0,8;5;60,0;BLK;83;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_083_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Energy Switch;MEG 115;19;4;5;3,8;3,8;5;100,0;MEG;115;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_115_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Ultra Ball;ASC 213;20;4;5;4,0;4,0;5;100,0;ASC;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Bug Catching Set;PRE 102;10;4;3;3,33;2,0;5;60,0;PRE;102;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_102_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Night Stretcher;ASC 196;6;2;5;1,2;1,2;5;100,0;ASC;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
