tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec;total_players
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Energy Switch;MEG 115;3;3;1;3,0;1;100,0;MEG;;115;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_115_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Night Stretcher;ASC 196;2;2;1;2,0;1;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Switch;MEG 130;1;1;1;1,0;1;100,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Unfair Stamp;TWM 165;1;1;1;1,0;1;100,0;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Lillie's Pearl;JTG 151;3;3;1;3,0;1;100,0;JTG;;151;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_151_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Area Zero Underdepths;SCR 131;3;3;1;3,0;1;100,0;SCR;;131;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_131_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Grass Energy;MEE 1;7;7;1;7,0;1;100,0;MEE;;1;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_001_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Psychic Energy;MEE 5;3;3;1;3,0;1;100,0;MEE;;5;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_005_R_EN_LG.png;;52
6a0f117913f957d6d4b4c5f5;ARTEUS TCG - MONDAY LEGENDS;Online Dated;2026-05-26;Clefairy Ogerpon;Telepathic Psychic Energy;POR 88;2;2;1;2,0;1;100,0;POR;;88;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_088_R_EN_LG.png;;52
6a0b663a13f957d6d4b4aec1;Defenders Arena #16🏆|NA INTERNAT PREP|50+ CODES;Online Dated;2026-05-24;Clefairy Ogerpon;Teal Mask Ogerpon ex;TWM 25;3;3;1;3,0;1;100,0;TWM;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;;48
6a0b663a13f957d6d4b4aec1;Defenders Arena #16🏆|NA INTERNAT PREP|50+ CODES;Online Dated;2026-05-24;Clefairy Ogerpon;Lillie's Clefairy ex;JTG 56;3;3;1;3,0;1;100,0;JTG;;56;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_056_R_EN_LG.png;;48
6a0b663a13f957d6d4b4aec1;Defenders Arena #16🏆|NA INTERNAT PREP|50+ CODES;Online Dated;2026-05-24;Clefairy Ogerpon;Meowth ex;POR 62;3;3;1;3,0;1;100,0;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;;48
6a0b663a13f957d6d4b4aec1;Defenders Arena #16🏆|NA INTERNAT PREP|50+ CODES;Online Dated;2026-05-24;Clefairy Ogerpon;Mega Kangaskhan ex;MEG 104;2;2;1;2,0;1;100,0;MEG;;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;;48
6a0b663a13f957d6d4b4aec1;Defenders Arena #16🏆|NA INTERNAT PREP|50+ CODES;Online Dated;2026-05-24;Clefairy Ogerpon;Latias ex;SSP 76;2;2;1;2,0;1;100,0;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;;48
