meta;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
City Leagues;Aegislash Genesect;Lana's Aid;TWM_155;1;1;1;2;50,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Morty's Conviction;TEF_155;3;3;1;2;50,0;TEF;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_155_R_EN_LG.png;No
City Leagues;Aegislash Genesect;Air Balloon;ASC_181;4;2;2;2;100,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Latias ex;SSP_76;2;1;2;2;100,0;SSP;;76;Double Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Fezandipiti ex;SFA_38;1;1;1;2;50,0;SFA;;38;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Genesect ex;BLK_67;6;3;2;2;100,0;BLK;;67;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Honedge;M3_55;8;4;2;2;100,0;M3;;55;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_55_R_JP_LG.png;No
City Leagues;Aegislash Metagross;Mega Skarmory ex;M3_54;2;1;2;2;100,0;M3;;54;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_54_R_JP_LG.png;No
City Leagues;Aegislash Metagross;Steven's Beldum;DRI_143;5;3;2;2;100,0;DRI;;143;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_143_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Aegislash;M3_57;8;4;2;2;100,0;M3;;57;Uncommon;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_57_R_JP_LG.png;No
City Leagues;Aegislash Metagross;Doublade;M3_56;8;4;2;2;100,0;M3;;56;Common;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_56_R_JP_LG.png;No
