tournament_id;name;date;meta;format;players;organizer_id;is_online;has_decklists;swiss_rounds;phases;standings_rows;pairings_rows;depth;scraped_at
6a70e60ecdc0391d7fa5b8b7;Sunny's Weekly #268 Stand Up Comedy!;2026-08-10T22:05:00.000Z;TEF-PBL;STANDARD;234;145;True;True;7;1;234;537;voll;2026-09-08T11:17:59Z
6a791a40cdc0391d7fa6237a;Pumpkaweekly;2026-08-10T18:00:00.000Z;TEF-PBL;STANDARD;237;36;True;True;8;1;237;629;voll;2026-09-08T11:19:11Z
6a7601bdcdc0391d7fa5f5bf;SEASAC League Challenge #12 (SEASON 4) [50 CODES];2026-08-10T11:30:00.000Z;TEF-PBL;STANDARD;170;2623;True;True;8;2;170;499;voll;2026-09-08T11:19:13Z
6a75224bcdc0391d7fa5edef;RCC Showdown #36 | $150 USD PRIZE | NO ENTRY FEE;2026-08-10T00:00:00.000Z;TEF-PBL;STANDARD;497;2518;True;True;9;3;497;1379;voll;2026-09-08T11:19:15Z
6a771169cdc0391d7fa606e0;Monster Collectibles After Hours #16;2026-08-09T17:00:00.000Z;TEF-PBL;STANDARD;210;2610;True;True;8;1;210;521;voll;2026-09-08T11:19:16Z
6a75d5eacdc0391d7fa5f3a7;SEASAC League Challenge #11 (SEASON 4) [50 CODES];2026-08-09T11:30:00.000Z;TEF-PBL;STANDARD;132;2623;True;True;8;2;132;383;voll;2026-09-08T11:19:18Z
6a6f70aecdc0391d7fa5a4e5;Redacted Chaos #10 (100 Codes);2026-08-08T22:05:00.000Z;TEF-PBL;STANDARD;189;222;True;True;7;3;189;506;voll;2026-09-08T11:19:19Z
6a75d5d22b308b6067b4c83c;SEASAC League Cup #2 (SEASON 4) [150 CODES];2026-08-08T11:30:00.000Z;TEF-PBL;STANDARD;115;2623;True;True;7;2;115;304;voll;2026-09-08T11:19:21Z
6a5a50bc52c24ac2da6446d2;TOURNAMENT OF DOOM! WORLDS LCQ!;2026-08-08T02:35:00.000Z;TEF-PBL;STANDARD;657;349;True;True;9;2;657;1659;voll;2026-09-08T11:19:22Z
6a6f99d42b308b6067b48068;Team Corna Weekly August #2;2026-08-07T16:00:00.000Z;TEF-PBL;STANDARD;113;2583;True;True;7;2;113;283;voll;2026-09-08T11:19:24Z
6a74a4f02b308b6067b4bb3b;💥​Plantel Battle #30 PITCH 💥​100 CODES ✔️​ TOP 8;2026-08-06T23:00:00.000Z;TEF-PBL;STANDARD;103;1727;True;True;7;2;103;242;voll;2026-09-08T11:19:25Z
6a7113f32b308b6067b493e3;⚡ Surge's TCG Vault Winner Takes All - 100 Codes;2026-08-06T19:00:00.000Z;TEF-PBL;STANDARD;123;2603;True;True;7;2;123;316;voll;2026-09-08T11:19:27Z
6a6ce63dcdc0391d7fa5784b;🏆Moujii's Dojo🏆 (Late Registration Available!);2026-08-06T16:10:00.000Z;TEF-PBL;STANDARD;244;35;True;True;8;3;244;705;voll;2026-09-08T11:19:28Z
6a6ef66ecdc0391d7fa59e54;SEASAC League Challenge #10 (SEASON 4) [50 CODES];2026-08-06T11:30:00.000Z;TEF-PBL;STANDARD;144;2623;True;True;8;2;144;403;voll;2026-09-08T11:19:30Z
6a6b8596937230b102d492c6;REFINE Summer Series Session 6: Charizard Edition;2026-08-06T00:00:00.000Z;TEF-PBL;STANDARD;115;2568;True;True;7;1;115;262;voll;2026-09-08T11:19:31Z
6a6ffa5d2b308b6067b48537;Hideout TCG MID-WEEK Meta Clash 50 codes pitch;2026-08-05T21:15:00.000Z;TEF-PBL;STANDARD;103;2705;True;True;6;2;103;239;voll;2026-09-08T11:19:33Z
6a7113d8cdc0391d7fa5bc82;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-08-05T16:59:00.000Z;TEF-PBL;STANDARD;102;2603;True;True;7;2;102;234;voll;2026-09-08T11:19:34Z
6a6ef65a2b308b6067b477cc;SEASAC League Challenge #9 (SEASON 4) [50 CODES];2026-08-05T11:30:00.000Z;TEF-PBL;STANDARD;132;2623;True;True;8;2;132;384;voll;2026-09-08T11:19:35Z
6a7134422b308b6067b4960d;Pitch Black Tourney - Last Prize Series #11;2026-08-04T23:35:00.000Z;TEF-PBL;STANDARD;178;2227;True;True;7;1;178;407;voll;2026-09-08T11:19:37Z
6a711369cdc0391d7fa5bc4f;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-08-04T18:00:00.000Z;TEF-PBL;STANDARD;148;2603;True;True;8;2;148;391;voll;2026-09-08T11:19:38Z
6a6f99d52b308b6067b48069;Team Corna Weekly August #1;2026-08-04T16:00:00.000Z;TEF-PBL;STANDARD;118;2583;True;True;7;2;118;299;voll;2026-09-08T11:19:40Z
6a6ef634cdc0391d7fa59e53;SEASAC League Challenge #8 (SEASON 4) [50 CODES];2026-08-04T11:30:00.000Z;TEF-PBL;STANDARD;154;2623;True;True;8;2;154;439;voll;2026-09-08T11:19:41Z
6a7103e1cdc0391d7fa5bb21;🏛💫 Card Temple Weekly Battles #70;2026-08-04T02:00:00.000Z;TEF-PBL;STANDARD;103;2152;True;True;6;1;103;237;voll;2026-09-08T11:19:43Z
6a640d6f937230b102d439ac;Sunny's Weekly #267 Return of the Kingdra!;2026-08-03T22:05:00.000Z;TEF-PBL;STANDARD;194;145;True;True;8;1;194;454;voll;2026-09-08T11:19:44Z
