set,number,name,rarity,version,price_eur,cardmarket_url
SP,29,Rayquaza,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Rayquaza-V3-SP29?language=1,3&minCondition=2"
SP,30,Copperajah V,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Copperajah-V-V1-SP30?language=1,3&minCondition=2"
SP,30,Copperajah V,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Copperajah-V-V2-SP30?language=1,3&minCondition=2"
SP,30,Copperajah V,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Copperajah-V-V3-SP30?language=1,3&minCondition=2"
SP,31,Morpeko,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V1-SP31?language=1,3&minCondition=2"
SP,31,Morpeko,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V2-SP31?language=1,3&minCondition=2"
SP,31,Morpeko,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V3-SP31?language=1,3&minCondition=2"
SP,32,Snorlax,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Snorlax-V1-SP32?language=1,3&minCondition=2"
SP,32,Snorlax,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Snorlax-V2-SP32?language=1,3&minCondition=2"
SP,32,Snorlax,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Snorlax-V3-SP32?language=1,3&minCondition=2"
SP,33,Zacian,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zacian-V1-SP33?language=1,3&minCondition=2"
SP,33,Zacian,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zacian-V2-SP33?language=1,3&minCondition=2"
SP,33,Zacian,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zacian-V3-SP33?language=1,3&minCondition=2"
SP,34,Zamazenta,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zamazenta-V1-SP34?language=1,3&minCondition=2"
SP,34,Zamazenta,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zamazenta-V2-SP34?language=1,3&minCondition=2"
SP,34,Zamazenta,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Zamazenta-V3-SP34?language=1,3&minCondition=2"
SP,35,Decidueye,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Decidueye-V1-SP35?language=1,3&minCondition=2"
SP,35,Decidueye,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Decidueye-V2-SP35?language=1,3&minCondition=2"
SP,35,Decidueye,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Decidueye-V3-SP35?language=1,3&minCondition=2"
SP,36,Arctozolt,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Arctozolt-V1-SP36?language=1,3&minCondition=2"
SP,36,Arctozolt,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Arctozolt-V2-SP36?language=1,3&minCondition=2"
SP,36,Arctozolt,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Arctozolt-V3-SP36?language=1,3&minCondition=2"
SP,37,Hydreigon,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Hydreigon-V1-SP37?language=1,3&minCondition=2"
SP,37,Hydreigon,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Hydreigon-V2-SP37?language=1,3&minCondition=2"
SP,37,Hydreigon,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Hydreigon-V3-SP37?language=1,3&minCondition=2"
SP,38,Kangaskhan,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Kangaskhan-V1-SP38?language=1,3&minCondition=2"
SP,38,Kangaskhan,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Kangaskhan-V2-SP38?language=1,3&minCondition=2"
SP,38,Kangaskhan,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Kangaskhan-V3-SP38?language=1,3&minCondition=2"
SP,39,Pikachu,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Pikachu-V1-SP39?language=1,3&minCondition=2"
SP,39,Pikachu,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Pikachu-V2-SP39?language=1,3&minCondition=2"
SP,39,Pikachu,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Pikachu-V3-SP39?language=1,3&minCondition=2"
SP,40,Hatenna,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Hatenna-V1-SP40?language=1,3&minCondition=2"
