set,number,url,product_id_in_url,lang
AOR,37,https://pokepricelab.com/es/catalog/ancient-origins-machamp-ex-37,,es
AOR,37,https://pokepricelab.com/fr/catalog/ancient-origins-machamp-ex-37,,fr
AOR,37,https://pokepricelab.com/it/catalog/ancient-origins-machamp-ex-37,,it
AOR,38,https://pokepricelab.com/catalog/ancient-origins-wooper-38,,
AOR,38,https://pokepricelab.com/de/catalog/ancient-origins-wooper-38,,de
AOR,38,https://pokepricelab.com/es/catalog/ancient-origins-wooper-38,,es
AOR,38,https://pokepricelab.com/fr/catalog/ancient-origins-wooper-38,,fr
AOR,38,https://pokepricelab.com/it/catalog/ancient-origins-wooper-38,,it
AOR,39,https://pokepricelab.com/catalog/ancient-origins-quagsire-39,,
AOR,39,https://pokepricelab.com/de/catalog/ancient-origins-quagsire-39,,de
AOR,39,https://pokepricelab.com/es/catalog/ancient-origins-quagsire-39,,es
AOR,39,https://pokepricelab.com/fr/catalog/ancient-origins-quagsire-39,,fr
AOR,39,https://pokepricelab.com/it/catalog/ancient-origins-quagsire-39,,it
AOR,4,https://pokepricelab.com/catalog/ancient-origins-bellossom-4,,
AOR,4,https://pokepricelab.com/de/catalog/ancient-origins-bellossom-4,,de
AOR,4,https://pokepricelab.com/es/catalog/ancient-origins-bellossom-4,,es
AOR,4,https://pokepricelab.com/fr/catalog/ancient-origins-bellossom-4,,fr
AOR,4,https://pokepricelab.com/it/catalog/ancient-origins-bellossom-4,,it
AOR,40,https://pokepricelab.com/catalog/ancient-origins-regirock-40,,
AOR,40,https://pokepricelab.com/de/catalog/ancient-origins-regirock-40,,de
AOR,40,https://pokepricelab.com/es/catalog/ancient-origins-regirock-40,,es
AOR,40,https://pokepricelab.com/fr/catalog/ancient-origins-regirock-40,,fr
AOR,40,https://pokepricelab.com/it/catalog/ancient-origins-regirock-40,,it
AOR,41,https://pokepricelab.com/catalog/ancient-origins-golurk-41,,
AOR,41,https://pokepricelab.com/de/catalog/ancient-origins-golurk-41,,de
AOR,41,https://pokepricelab.com/es/catalog/ancient-origins-golurk-41,,es
AOR,41,https://pokepricelab.com/fr/catalog/ancient-origins-golurk-41,,fr
AOR,41,https://pokepricelab.com/it/catalog/ancient-origins-golurk-41,,it
AOR,42,https://pokepricelab.com/catalog/ancient-origins-tyranitar-ex-42,,
AOR,42,https://pokepricelab.com/de/catalog/ancient-origins-tyranitar-ex-42,,de
AOR,42,https://pokepricelab.com/es/catalog/ancient-origins-tyranitar-ex-42,,es
AOR,42,https://pokepricelab.com/fr/catalog/ancient-origins-tyranitar-ex-42,,fr
AOR,42,https://pokepricelab.com/it/catalog/ancient-origins-tyranitar-ex-42,,it
AOR,43,https://pokepricelab.com/catalog/ancient-origins-mtyranitar-ex-43,,
AOR,43,https://pokepricelab.com/catalog/ancient-origins-mtyranitar-ex-43-eu-284224,284224,
AOR,43,https://pokepricelab.com/de/catalog/ancient-origins-mtyranitar-ex-43,,de
AOR,43,https://pokepricelab.com/de/catalog/ancient-origins-mtyranitar-ex-43-eu-284224,284224,de
AOR,43,https://pokepricelab.com/es/catalog/ancient-origins-mtyranitar-ex-43,,es
AOR,43,https://pokepricelab.com/es/catalog/ancient-origins-mtyranitar-ex-43-eu-284224,284224,es
AOR,43,https://pokepricelab.com/fr/catalog/ancient-origins-mtyranitar-ex-43,,fr
AOR,43,https://pokepricelab.com/fr/catalog/ancient-origins-mtyranitar-ex-43-eu-284224,284224,fr
AOR,43,https://pokepricelab.com/it/catalog/ancient-origins-mtyranitar-ex-43,,it
AOR,43,https://pokepricelab.com/it/catalog/ancient-origins-mtyranitar-ex-43-eu-284224,284224,it
AOR,44,https://pokepricelab.com/catalog/ancient-origins-sableye-44,,
AOR,44,https://pokepricelab.com/de/catalog/ancient-origins-sableye-44,,de
AOR,44,https://pokepricelab.com/es/catalog/ancient-origins-sableye-44,,es
AOR,44,https://pokepricelab.com/fr/catalog/ancient-origins-sableye-44,,fr
AOR,44,https://pokepricelab.com/it/catalog/ancient-origins-sableye-44,,it
AOR,45,https://pokepricelab.com/catalog/ancient-origins-inkay-45,,
AOR,45,https://pokepricelab.com/de/catalog/ancient-origins-inkay-45,,de
AOR,45,https://pokepricelab.com/es/catalog/ancient-origins-inkay-45,,es
AOR,45,https://pokepricelab.com/fr/catalog/ancient-origins-inkay-45,,fr
AOR,45,https://pokepricelab.com/it/catalog/ancient-origins-inkay-45,,it
AOR,46,https://pokepricelab.com/catalog/ancient-origins-malamar-46,,
AOR,46,https://pokepricelab.com/de/catalog/ancient-origins-malamar-46,,de
AOR,46,https://pokepricelab.com/es/catalog/ancient-origins-malamar-46,,es
AOR,46,https://pokepricelab.com/fr/catalog/ancient-origins-malamar-46,,fr
AOR,46,https://pokepricelab.com/it/catalog/ancient-origins-malamar-46,,it
AOR,47,https://pokepricelab.com/catalog/ancient-origins-beldum-47,,
AOR,47,https://pokepricelab.com/de/catalog/ancient-origins-beldum-47,,de
AOR,47,https://pokepricelab.com/es/catalog/ancient-origins-beldum-47,,es
AOR,47,https://pokepricelab.com/fr/catalog/ancient-origins-beldum-47,,fr
AOR,47,https://pokepricelab.com/it/catalog/ancient-origins-beldum-47,,it
AOR,48,https://pokepricelab.com/catalog/ancient-origins-metang-48,,
