tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Area Zero Underdepths;PRE 94;66;4;21;3,"['14;21;100', '0;PRE;;94;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_094_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Grass Energy;EVO 91;155;8;21;7,"['38;21;100', '0;EVO;;91;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_091_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Lightning Energy;EVO 94;43;3;21;2,"['05;21;100', '0;EVO;;94;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_094_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Fighting Energy;EVO 96;43;3;21;2,"['05;21;100', '0;EVO;;96;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_096_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Psychic Energy;EVO 95;40;2;21;1,"['9;21;100', '0;EVO;;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Water Energy;EVO 93;20;1;20;1,"['0;21;95', '24;EVO;;93;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_093_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Koraidon ex;ASC 121;2;1;2;1,"['0;21;9', '52;ASC;;121;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_121_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Special Red Card;CRI 82;10;2;9;1,"['11;21;42', '86;CRI;;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Hero's Cape;TEF 152;1;1;1;1,"['0;21;4', '76;TEF;;152;Ultra Rare;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_152_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Jamming Tower;TWM 153;1;1;1;1,"['0;21;4', '76;TWM;;153;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_153_R_EN_LG.png;No']"
