deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Ursaluna Lunatone;BESTEHEND;ABSTEIGEND;29;37;-8;233;211;-22;0,81;0,47;-0,34;48,29;49,12;0,83
Gholdengo Joltik Box;BESTEHEND;ABSTEIGEND;23;38;-15;338;187;-151;1,17;0,42;-0,75;51,66;50,0;-1,66
Mega Charizard X;NEU;AUFSTEIGEND;-;39;0;0;179;179;0;0,4;0,4;0;35,6;35,6
Marnie's Grimmsnarl;BESTEHEND;AUFSTEIGEND;58;40;18;42;167;125;0,15;0,37;0,22;42,79;43,64;0,85
Ho-Oh Armarouge;BESTEHEND;ABSTEIGEND;31;41;-10;226;164;-62;0,78;0,37;-0,41;48,48;46,4;-2,08
Ogerpon Meganium;BESTEHEND;AUFSTEIGEND;45;42;3;92;149;57;0,32;0,33;0,01;51,76;48,73;-3,03
Roaring Moon;BESTEHEND;AUFSTEIGEND;44;43;1;118;143;25;0,41;0,32;-0,09;46,55;48,78;2,23
Iron Hands Magneton;BESTEHEND;AUFSTEIGEND;70;44;26;29;143;114;0,1;0,32;0,22;43,75;46,38;2,63
Slaking;BESTEHEND;AUFSTEIGEND;108;45;63;8;139;131;0,03;0,31;0,28;37,04;46,26;9,22
Mega Lucario;BESTEHEND;AUFSTEIGEND;47;46;1;92;136;44;0,32;0,3;-0,02;43,18;46,01;2,83
Hop's Zacian;BESTEHEND;AUFSTEIGEND;49;47;2;76;135;59;0,26;0,3;0,04;42,81;40,89;-1,92
Hydrapple Ogerpon;BESTEHEND;ABSTEIGEND;36;48;-12;187;119;-68;0,65;0,27;-0,38;44,76;44,02;-0,74
Kangaskhan Forretress;BESTEHEND;ABSTEIGEND;46;49;-3;92;114;22;0,32;0,26;-0,06;44,76;46,51;1,75
Chien-Pao Baxcalibur;BESTEHEND;ABSTEIGEND;37;50;-13;179;110;-69;0,62;0,25;-0,37;48,47;40,62;-7,85
Archaludon;BESTEHEND;ABSTEIGEND;39;51;-12;155;108;-47;0,54;0,24;-0,3;49,25;45,49;-3,76
Mega Lopunny;NEU;AUFSTEIGEND;-;52;0;0;105;105;0;0,24;0,24;0;45,93;45,93
Conkeldurr;BESTEHEND;ABSTEIGEND;27;53;-26;236;103;-133;0,82;0,23;-0,59;47,87;47,15;-0,72
Terapagos Noctowl;BESTEHEND;AUFSTEIGEND;63;54;9;37;101;64;0,13;0,23;0,1;46,79;47,47;0,68
Manectric Eelektrik;BESTEHEND;ABSTEIGEND;35;55;-20;189;101;-88;0,65;0,23;-0,42;45,61;42,65;-2,96
Wugtrio Mill;BESTEHEND;ABSTEIGEND;48;56;-8;83;101;18;0,29;0,23;-0,06;39,54;41,56;2,02
Charizard;BESTEHEND;AUFSTEIGEND;59;57;2;42;101;59;0,15;0,23;0,08;39,87;39,16;-0,71
Iron Valiant;BESTEHEND;AUFSTEIGEND;121;58;63;6;98;92;0,02;0,22;0,2;23,53;52,44;28,91
Raging Bolt;BESTEHEND;AUFSTEIGEND;112;59;53;7;81;74;0,02;0,18;0,16;52,63;41,32;-11,31
Mega Abomasnow;NEU;AUFSTEIGEND;-;60;0;0;70;70;0;0,16;0,16;0;39,01;39,01
Iron Thorns Crustle;NEU;AUFSTEIGEND;-;61;0;0;68;68;0;0,15;0,15;0;48,2;48,2
Zoroark Crustle;BESTEHEND;ABSTEIGEND;32;62;-30;214;67;-147;0,74;0,15;-0,59;51,29;48,1;-3,19
Great Tusk Mill;BESTEHEND;ABSTEIGEND;42;63;-21;122;61;-61;0,42;0,14;-0,28;44,71;47,32;2,61
Feraligatr;BESTEHEND;ABSTEIGEND;51;64;-13;63;61;-2;0,22;0,14;-0,08;39,08;38,17;-0,91
Paldean Tauros;NEU;AUFSTEIGEND;-;65;0;0;60;60;0;0,13;0,13;0;45,66;45,66
Yanmega;BESTEHEND;ABSTEIGEND;65;67;-2;37;53;16;0,13;0,12;-0,01;39,86;45,54;5,68
Palafin;BESTEHEND;ABSTEIGEND;50;68;-18;66;53;-13;0,23;0,12;-0,11;41,18;41,71;0,53
Tyranitar;BESTEHEND;AUFSTEIGEND;86;69;17;16;51;35;0,06;0,11;0,05;45,68;38,38;-7,3
Hydrapple;BESTEHEND;AUFSTEIGEND;72;70;2;23;50;27;0,08;0,11;0,03;34,74;44,02;9,28
Mega Kangaskhan;BESTEHEND;ABSTEIGEND;60;71;-11;40;49;9;0,14;0,11;-0,03;38,89;35,68;-3,21
Dragapult Blaziken;BESTEHEND;ABSTEIGEND;56;72;-16;45;48;3;0,16;0,11;-0,05;45,25;45,74;0,49
Rocket's Spidops;BESTEHEND;AUFSTEIGEND;78;73;5;19;48;29;0,07;0,11;0,04;45,05;42,31;-2,74
